   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.001    0.000    0.071    0.036 builtins.py:1(<module>)
      410    0.005    0.000    0.070    0.000 <frozen importlib._bootstrap>:870(_find_spec)
 1867/633    0.014    0.000    0.070    0.000 context.py:168(_call_incref_decref)
67248/67218    0.049    0.000    0.069    0.000 {method 'join' of 'str' objects}
       16    0.026    0.002    0.069    0.004 analysis.py:58(compute_live_map)
       21    0.000    0.000    0.068    0.003 castgraph.py:134(unsafe)
21459/21051    0.045    0.000    0.068    0.000 abstract.py:113(__eq__)
      132    0.000    0.000    0.068    0.001 passmanagers.py:123(run)
      344    0.001    0.000    0.068    0.000 pythonapi.py:363(raise_missing_name_error)
     7403    0.068    0.000    0.068    0.000 {built-in method numpy.core.multiarray.array}
    26713    0.046    0.000    0.067    0.000 builder.py:240(_insert)
      288    0.001    0.000    0.065    0.000 templates.py:289(apply)
      296    0.001    0.000    0.065    0.000 templates.py:176(_select)
     1818    0.011    0.000    0.065    0.000 builder.py:644(store)
    16471    0.038    0.000    0.065    0.000 values.py:229(_get_reference)
   101532    0.065    0.000    0.065    0.000 {method 'append' of 'list' objects}
      296    0.010    0.000    0.064    0.000 context.py:496(resolve_overload)
1769/1766    0.033    0.000    0.063    0.000 {built-in method builtins.__build_class__}
        6    0.000    0.000    0.062    0.010 nrtopt.py:13(_remove_redundant_nrt_refct)
     9850    0.024    0.000    0.062    0.000 instructions.py:112(<listcomp>)
       33    0.000    0.000    0.061    0.002 context.py:137(refresh)
      228    0.001    0.000    0.059    0.000 re.py:286(_compile)
      405    0.001    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       88    0.035    0.000    0.057    0.001 controlflow.py:292(_find_dominators_internal)
       58    0.000    0.000    0.057    0.001 re.py:231(compile)
      405    0.003    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
       57    0.001    0.000    0.057    0.001 sre_compile.py:557(compile)
       80    0.001    0.000    0.056    0.001 layers.py:176(backward)
      353    0.002    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
     1020    0.004    0.000    0.054    0.000 interpreter.py:226(_dispatch)
        9    0.000    0.000    0.054    0.006 typeconv.py:85(safe_unsafe)
       33    0.000    0.000    0.053    0.002 context.py:597(load_additional_registries)
      488    0.001    0.000    0.053    0.000 context.py:204(decref)
     8862    0.023    0.000    0.053    0.000 abc.py:180(__instancecheck__)
       66    0.001    0.000    0.053    0.001 module.py:11(parse_assembly)
        8    0.000    0.000    0.052    0.007 objmode.py:269(<listcomp>)
      398    0.003    0.000    0.052    0.000 cgutils.py:361(alloca_once)
        2    0.000    0.000    0.052    0.026 __init__.py:7(<module>)
      204    0.001    0.000    0.051    0.000 npydecl.py:194(generic)
       16    0.000    0.000    0.051    0.003 transforms.py:278(canonicalize_cfg)
      353    0.051    0.000    0.051    0.000 {built-in method marshal.loads}
       16    0.000    0.000    0.051    0.003 transforms.py:208(canonicalize_cfg_single_backedge)
       35    0.001    0.000    0.050    0.001 callwrapper.py:22(add_arg)
      251    0.002    0.000    0.049    0.000 objmode.py:528(delvar)
      620    0.011    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    39/37    0.000    0.000    0.049    0.001 <frozen importlib._bootstrap_external>:919(create_module)
    39/37    0.043    0.001    0.048    0.001 {built-in method _imp.create_dynamic}
        6    0.000    0.000    0.048    0.008 compiler.py:461(stage_generic_rewrites)
      132    0.001    0.000    0.048    0.000 pythonapi.py:125(read_const)
      204    0.003    0.000    0.047    0.000 npydecl.py:99(generic)
     2513    0.011    0.000    0.046    0.000 types.py:79(__call__)
     1110    0.006    0.000    0.046    0.000 instructions.py:164(descr)
      418    0.001    0.000    0.046    0.000 lowering.py:907(_alloca_var)
    19700    0.032    0.000    0.045    0.000 values.py:516(__init__)
       16    0.000    0.000    0.045    0.003 postproc.py:39(cfg)
      103    0.002    0.000    0.045    0.000 cgutils.py:98(__init__)
       24    0.001    0.000    0.045    0.002 nrtopt.py:35(_process_function)
     1938    0.012    0.000    0.045    0.000 context.py:449(_rate_arguments)
    52012    0.036    0.000    0.045    0.000 {method 'add' of 'set' objects}
6078/4854    0.013    0.000    0.045    0.000 contextlib.py:85(__exit__)
    58388    0.044    0.000    0.044    0.000 _utils.py:15(is_used)
