   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      657    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      310    0.001    0.000    0.003    0.000 enum.py:801(__and__)
      123    0.003    0.000    0.003    0.000 {built-in method numpy.core.multiarray.zeros}
        1    0.000    0.000    0.003    0.003 signal.py:1(<module>)
      364    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      132    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        1    0.000    0.000    0.003    0.003 parse.py:28(<module>)
        3    0.000    0.000    0.003    0.001 enum.py:602(_convert)
      192    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      482    0.002    0.000    0.003    0.000 {built-in method builtins.any}
     2626    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
     3640    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.003    0.001 warnings.py:119(filterwarnings)
       40    0.000    0.000    0.003    0.000 utils.py:5(accuracy)
        1    0.000    0.000    0.003    0.003 datetime.py:5(<module>)
     3371    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.003    0.003 financial.py:12(<module>)
      209    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        3    0.000    0.000    0.002    0.001 enum.py:364(_create_)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:735(source_to_code)
        1    0.002    0.002    0.002    0.002 {built-in method builtins.compile}
     1998    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
      227    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      155    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      159    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
       29    0.000    0.000    0.002    0.000 sre_compile.py:223(_compile_charset)
      160    0.000    0.000    0.002    0.000 fromnumeric.py:2840(round_)
       40    0.001    0.000    0.002    0.000 {method 'choice' of 'mtrand.RandomState' objects}
      133    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
      355    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
       29    0.001    0.000    0.002    0.000 sre_compile.py:250(_optimize_charset)
      364    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.002    0.002 utils.py:1(<module>)
        2    0.000    0.000    0.002    0.001 __init__.py:3(<module>)
     1660    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      160    0.000    0.000    0.002    0.000 fromnumeric.py:2771(around)
        1    0.000    0.000    0.002    0.002 polynomial.py:56(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
       43    0.000    0.000    0.001    0.000 core.py:150(get_object_signature)
      364    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
     1600    0.001    0.000    0.001    0.000 arraypad.py:1046(<genexpr>)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
      550    0.001    0.000    0.001    0.000 sre_parse.py:253(get)
      684    0.001    0.000    0.001    0.000 enum.py:515(__new__)
       26    0.000    0.000    0.001    0.000 core.py:6550(__init__)
        3    0.001    0.000    0.001    0.000 enum.py:124(__new__)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6555(getdoc)
      155    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
       11    0.000    0.000    0.001    0.000 abc.py:132(__new__)
        1    0.000    0.000    0.001    0.001 linalg.py:10(<module>)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1080    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.normalize_axis_index}
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      265    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
  268/234    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
